title
The Choice: Embrace the Possible by Dr. Edith Eva Eger
Cloud Atlas by David Mitchell
The Ride of a Lifetime by Robert Iger
The Great Influenza by John M. Barry
Good Economics For Hard Times by Abhijit V. Banerjee and Esther Duflo
The Martian by Andy Weir
The Rosie Project by Graeme Simsion
The Best We Could Do by Thi Bui
An American Marriage by Tayari Jones
These Truths by Jill Lepore
Growth by Vaclav Smil
Prepared by Diane Tavenner
Why We Sleep by Matthew Walker
Upheaval by Jared Diamond
Nine Pints by Rose George
A Gentleman in Moscow by Amor Towles
Presidents of War by Michael Beschloss
The Future of Capitalism by Paul Collier
Educated by Tara Westover
Army of None by Paul Scharre
Bad Blood by John Carreyrou
21 Lessons for the 21st Century by Yuval Noah Harari
The Headspace Guide to Meditation and Mindfulness by Andy Puddicombe
Leonardo da Vinci by Walter Isaacson
Everything Happens for a Reason and Other Lies I’ve Loved by Kate Bowler
Lincoln in the Bardo by George Saunders
Origin Story: A Big History of Everything by David Christian
"Factfulness by Hans Rosling, with Ola Rosling and Anna Rosling Ronnlund"
The Best We Could Do by Thi Bui
Evicted: Poverty and Profit in the American City by Matthew Desmond
"Believe Me: A Memoir of Love, Death, and Jazz Chickens by Eddie Izzard"
The Sympathizer by Viet Thanh Nguyen
Energy and Civilization: A History by Vaclav Smil
Born a Crime by Trevor Noah
The Heart by Maylis de Kerangal
Hillbilly Elegy by J.D. Vance
Homo Deus by Yuval Noah Harari
A Full Life by Jimmy Carter
String Theory by David Foster Wallace
Shoe Dog by Phil Knight
The Gene by Siddhartha Mukherjee
The Myth of the Strong Leader by Archie Brown
The Grid by Gretchen Bakke
Seveneves by Neal Stephenson
How Not to be Wrong by Jordan Ellenberg.
The Vital Question by Nick Lane
The Power to Compete by Ryoichi Mikitani and Hiroshi Mikitani
Sapiens by Noah Yuval Harari
The Road to Character by David Brooks
Thing Explainer: Complicated Stuff in Simple Words by Randall Munroe
Being Nixon: A Man Divided by Evan Thomas
"Sustainable Materials With Both Eyes Open by Julian M. Allwood, Jonathan M. Cullen, et al."
Eradication: Ridding the World of Diseases Forever? by Nancy Leys Stepan
Mindset: The New Psychology of Success by Carol S. Dweck
Hyperbole and a Half by Allie Brosh
The Magic of Reality by Richard Dawkins
What If? by Randall Munroe
XKCD by Randall Munroe
On Immunity by Eula Biss
How to Lie With Statistics by Darrell Huff
Should We Eat Meat? by Vaclav Smil
Capital in the Twenty-First Century by Thomas Piketty
How Asia Works by Joe Studwell
The Rosie Effect by Graeme Simsion
Making the Modern World: Materials and Dematerialization by Vaclav Smil
Business Adventures by John Brooks.
Stress Test by Timothy F. Geithner
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism by Doris Kearns Goodwin."
Team of Rivals by Doris Kearns Goodwin
The Rosie Project by Graeme Simsion
The Sixth Extinction: An Unnatural History by Elizabeth Kolbert
Reinventing American Health Care by Ezekiel J. Emanuel
The Box by Marc Levinson
The Most Powerful Idea in the World by William Rosen
Harvesting the Biosphere by Vaclav Smil
The World Until Yesterday by Jared Diamond
Poor Numbers by Morten Jerven
Why Does College Cost So Much? by Robert B. Archibald and David H. Feldman
The Bet by Paul Sabin
The World Until Yesterday: What Can We Learn from Traditional Societies? by Jared Diamond
The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger by Marc Levinson
However Long the Night: Molly Melching’s Journey to Help Millions of African Women and Girls by Aimee Molloy
"How Children Succeed: Grit, Curiosity, and the Hidden Power of Character by Paul Tough"
"Japan’s Dietary Transition and Its Impacts (Food, Health, and the Environment) by Vaclav Smil and Kazuhiko Kobayashi"
Made in the USA: The Rise and Retreat of American Manufacturing by Vaclav Smil
Whistling Vivaldi: How Stereotypes Affect Us and What We Can Do (Issues of Our Time) by Claude Steele
Patriot and Assassin by Robert Cook
Moonwalking with Einstein by Joshua Foer
One Billion Hungry: Can We Feed the World? by Gordon Conway
A World-Class Education by Vivien Stewart
Academically Adrift by Richard Arum & Josipa Roksa
This Time is Different: Eight Centuries of Financial Folly by Carmen Reinhart & Kenneth Rogoff
The City that Became Safe: New York’s Lessons for Urban Crime and Its Control by Franklin Zimring
The Better Angels of Our Nature by Steven Pinker
The Quest by Daniel Yergin
Deng Xiaoping and the Transformation of China by Ezra Vogel
The Cost of Hope by Amanda Bennett
Behind the Beautiful Forevers by Katherine Boo
Limits to Growth: The 30-Year Update by Donella Meadows
Abundance: The Future is Better Than You Think by Peter Diamandis and Steven Kotler
"Thinking, Fast and Slow by Daniel Kahneman"
The Man Who Stayed Behind by Amanda Bennett
